Entry	Reviewed	Gene Names
Q39YL6	unreviewed	ddl ftsQ Gmet_0415
Q39YM3	unreviewed	murF Gmet_0408
Q39YN7	unreviewed	dnaG Gmet_0394
Q39YQ0	unreviewed	hemK prmC Gmet_0381
Q39YQ3	unreviewed	thyX Gmet_0378
Q39YQ5	unreviewed	rho Gmet_0376
Q39YS7	unreviewed	mrcA Gmet_0354
Q39YT0	unreviewed	ileS Gmet_0351
Q39YU4	unreviewed	moaA-2 moaA Gmet_0337
Q39YU5	unreviewed	moeA-2 Gmet_0336
Q39YX8	unreviewed	moaA-1 moaA Gmet_0301
Q39YX9	unreviewed	mobA Gmet_0300
Q39Z30	unreviewed	coxA Gmet_0249
Q39Z33	unreviewed	rdoA srkA Gmet_0246
Q39Z56	unreviewed	msrA msrB Gmet_0222
Q39Z74	unreviewed	argD Gmet_0204
Q39ZA1	unreviewed	lpdA-3 Gmet_0177
Q39ZC6	unreviewed	ackA Gmet_0149
Q39ZE2	unreviewed	ppk Gmet_0133
Q39ZE7	unreviewed	uvrA Gmet_0128
Q39ZH1	unreviewed	glmS glmS-1 Gmet_0104
Q39ZI5	unreviewed	ogt Gmet_0090
Q39ZI6	unreviewed	pcrA Gmet_0089
Q39ZK8	unreviewed	rpe Gmet_0067
Q39ZK9	unreviewed	rsmB Gmet_0066
Q39ZL7	unreviewed	glnS Gmet_0058
Q39ZR9	unreviewed	gyrA Gmet_0005
Q39ZS0	unreviewed	gyrB Gmet_0004
J9JEL8	unreviewed	prx-4 Gmet_0150
Q39PQ6	unreviewed	rnpA Gmet_3563
Q39PR6	unreviewed	def def-2 Gmet_3553
Q39PR8	unreviewed	hemY Gmet_3551
Q39PS2	unreviewed	mfd Gmet_3547
Q39PS6	unreviewed	tatB tatA Gmet_3543
Q39PS8	unreviewed	pal Gmet_3541
Q39PT4	unreviewed	hemN Gmet_3535
Q39PT9	unreviewed	Gmet_3530
Q39PV2	unreviewed	can Gmet_3517
Q39PV3	unreviewed	Gmet_3516
Q39PV7	unreviewed	putA Gmet_3512
Q39PW6	unreviewed	ltaE Gmet_3503
Q39PX0	unreviewed	pal Gmet_3499
Q39PX2	unreviewed	Gmet_3497
Q39PX6	unreviewed	norZ Gmet_3493
Q39PY2	unreviewed	Gmet_3487
Q39PY4	unreviewed	Gmet_3485
Q39PY8	unreviewed	Gmet_3478
Q39PY9	unreviewed	Gmet_3477
Q39PZ6	unreviewed	treS Gmet_3469
Q39Q10	unreviewed	Gmet_3455
Q39Q25	unreviewed	degQ Gmet_3437
Q39Q27	unreviewed	rluD Gmet_3435
Q39Q28	unreviewed	Gmet_3434
Q39Q30	unreviewed	Gmet_3432
Q39Q41	unreviewed	Gmet_3421
Q39Q43	unreviewed	por Gmet_3419
Q39Q47	unreviewed	selB Gmet_3415
Q39Q67	unreviewed	gabD Gmet_3395
Q39Q70	unreviewed	ubiX Gmet_3392
Q39Q75	unreviewed	rsmE Gmet_3387
Q39Q81	unreviewed	mqnB Gmet_3381
Q39Q82	unreviewed	mqnD Gmet_3380
Q39Q83	unreviewed	rlpA Gmet_3379
Q39Q92	unreviewed	gspJ Gmet_3370
Q39Q93	unreviewed	gspI Gmet_3369
Q39Q95	unreviewed	gspG Gmet_3367
